model,experiment_id,feature,shap_value,feature_value
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_energy,0.0,1419.46974451765
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_absolute_mean,0.0,17.00627399376156
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_duration_s,0.0,2.9128199999999964
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_n_samples,0.0,145642.0
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_dominant_freq_hz,0.0,2092.8029003415154
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_spectral_energy,0.0,5168360313307.27
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_spectral_centroid_hz,0.0,4905.322936104592
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_mean,0.0,9.705633123404027e-17
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_std,0.0,12.52581684924118
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_rms,0.0,12.52581684924118
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_max,0.0,105.6843224686719
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_min,-2.715618848800659,-107.3382535313281
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_peak_to_peak,0.0,213.022576
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_skewness,0.0,0.1434567804916183
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_kurtosis,0.0,5.207153847871147
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_crest_factor,0.0,8.569361569248132
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_energy,0.0,976.7911113692448
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_absolute_mean,0.0,7.357743171609955
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_duration_s,0.0,6.225700000000003
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_n_samples,0.0,311286.0
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_dominant_freq_hz,0.0,1910.140513940589
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_spectral_energy,0.0,7601534947619.068
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p3_spectral_centroid_hz,0.0,5346.4388616775095
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_mean,0.0,1.3848105624845304e-16
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_std,0.0,19.469191749249752
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_rms,0.0,19.469191749249752
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_max,0.0,101.63492362581282
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_min,0.0,-116.82764637418718
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_peak_to_peak,0.0,218.46257
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_skewness,0.0,0.0405203190195361
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_kurtosis,0.0,0.432931470811996
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_crest_factor,0.0,6.000641828322902
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_energy,0.0,846.4173713150983
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_absolute_mean,0.0,14.88520225173597
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_duration_s,0.0,2.2329799999999977
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_n_samples,0.0,111650.0
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_dominant_freq_hz,0.0,2099.865650923264
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_spectral_energy,0.0,2362562487772.0425
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p4_spectral_centroid_hz,0.0,5128.040065284087
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_mean,0.0,2.0238907625956212e-16
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_std,0.0,18.423485910192884
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_rms,0.0,18.423485910192884
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_max,0.0,99.52619705531797
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_min,0.0,-103.76669494468204
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_peak_to_peak,0.0,203.292892
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_skewness,0.0,0.0752512870145788
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_kurtosis,0.0,1.030004731932678
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_crest_factor,0.0,5.6323051701780615
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_energy,0.0,798.4018808746713
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_absolute_mean,0.0,13.555168888951997
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_duration_s,0.0,2.3521999999999963
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_n_samples,0.0,117611.0
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_dominant_freq_hz,0.0,1998.5375511252512
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p5_spectral_energy,0.0,2347521090288.7783
