rank,model,data_branch,tuning_method,validation_type,augmentation_strategy,MAE,RMSE,R2,MAPE_%,interpretation_note,branch_id
106,Ridge,A,none,holdout,feature_scaling,18.88252086530823,23.79604385273642,0.8876707591665632,8.945515729565146,"HO (n_test=2, optimistic); aug:feature_scaling",A_ST_feature_scaling
107,Ridge,N,none,holdout,none,18.986212842003788,23.74440776011287,0.8881577266656401,9.079485628939409,"HO (n_test=2, optimistic)",N_ST
108,Ridge,A,none,holdout,grouped_scaling,19.8770021039995,23.196906323282935,0.8932560081390273,10.341026913191689,"HO (n_test=2, optimistic); aug:grouped_scaling",A_ST_grouped_scaling
109,ElasticNet,A,random,holdout,feature_scaling,20.83539460489058,28.2565186105705,0.8416126078179891,8.996136133331335,"HO (n_test=2, optimistic); aug:feature_scaling; tuning:random",A_CT_random_feature_scaling
110,ElasticNet,A,grid,holdout,feature_scaling,20.83539460489058,28.2565186105705,0.8416126078179891,8.996136133331335,"HO (n_test=2, optimistic); aug:feature_scaling; tuning:grid",A_CT_grid_feature_scaling
111,Ridge,A,random,holdout,feature_scaling,21.450510355226164,29.09614136231986,0.8320600194056536,9.259470220899296,"HO (n_test=2, optimistic); aug:feature_scaling; tuning:random",A_CT_random_feature_scaling
112,Ridge,A,grid,holdout,feature_scaling,21.450510355226164,29.09614136231986,0.8320600194056536,9.259470220899296,"HO (n_test=2, optimistic); aug:feature_scaling; tuning:grid",A_CT_grid_feature_scaling
113,Lasso,A,none,holdout,feature_scaling,21.75659879036641,21.856562053798992,0.9052352103131192,15.589045680749999,"HO (n_test=2, optimistic); aug:feature_scaling",A_ST_feature_scaling
114,Ridge,A,random,holdout,grouped_scaling,26.55893073661167,27.638079032775774,0.8484698645860028,16.16116710361937,"HO (n_test=2, optimistic); aug:grouped_scaling; tuning:random",A_CT_random_grouped_scaling
115,Ridge,A,grid,holdout,grouped_scaling,26.55893073661167,27.638079032775774,0.8484698645860028,16.16116710361937,"HO (n_test=2, optimistic); aug:grouped_scaling; tuning:grid",A_CT_grid_grouped_scaling
116,ElasticNet,A,none,holdout,feature_noise,30.92720127682611,31.169626609351173,0.8072712511473175,20.233239976081975,"HO (n_test=2, optimistic); aug:feature_noise",A_ST_feature_noise
117,ElasticNet,N,none,holdout,none,30.999038081334135,31.241143790832574,0.8063858231780447,20.28223415321305,"HO (n_test=2, optimistic)",N_ST
118,ElasticNet,A,none,holdout,grouped_scaling,31.252461078588695,31.254466285137898,0.8062206580502238,21.449541871167195,"HO (n_test=2, optimistic); aug:grouped_scaling",A_ST_grouped_scaling
119,ElasticNet,A,none,holdout,feature_scaling,31.462516144732845,31.51723772841827,0.8029485669451236,21.171669925784002,"HO (n_test=2, optimistic); aug:feature_scaling",A_ST_feature_scaling
120,ElasticNet,A,random,holdout,feature_noise,33.44977778775967,33.514772311902355,0.777179138441052,22.47727147519425,"HO (n_test=2, optimistic); aug:feature_noise; tuning:random",A_CT_random_feature_noise
121,ElasticNet,A,grid,holdout,feature_noise,33.44977778775967,33.514772311902355,0.777179138441052,22.47727147519425,"HO (n_test=2, optimistic); aug:feature_noise; tuning:grid",A_CT_grid_feature_noise
122,ElasticNet,N,random,holdout,none,33.88270655541295,33.91561723525506,0.771817279815844,22.942479468340842,"HO (n_test=2, optimistic); tuning:random",N_CT_random
123,ElasticNet,N,grid,holdout,none,33.88270655541295,33.91561723525506,0.771817279815844,22.942479468340842,"HO (n_test=2, optimistic); tuning:grid",N_CT_grid
124,Ridge,N,random,holdout,none,34.71608449671825,35.334335628483174,0.7523278567136886,22.085801739745687,"HO (n_test=2, optimistic); tuning:random",N_CT_random
125,Ridge,N,grid,holdout,none,34.71608449671825,35.334335628483174,0.7523278567136886,22.085801739745687,"HO (n_test=2, optimistic); tuning:grid",N_CT_grid
126,Lasso,A,none,holdout,grouped_scaling,36.23401135283528,36.238139053966165,0.7394955917289054,25.137906543592432,"HO (n_test=2, optimistic); aug:grouped_scaling",A_ST_grouped_scaling
127,Lasso,A,random,holdout,feature_scaling,39.08766649715365,54.769061898909634,0.40494938677115755,37.745612634716444,"HO (n_test=2, optimistic); aug:feature_scaling; tuning:random",A_CT_random_feature_scaling
128,Lasso,A,grid,holdout,feature_scaling,39.08766649715365,54.769061898909634,0.40494938677115755,37.745612634716444,"HO (n_test=2, optimistic); aug:feature_scaling; tuning:grid",A_CT_grid_feature_scaling
