model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
RandomForest,SOLO_R,N,CT,grid,loeo,none,SOLO_R_N_CT_grid,99,47.1365,59.06075865157845,0.031517645188786525,30.72500163443353,9,9,0,10,10,
XGBoost,SOLO_R,N,CT,grid,loeo,none,SOLO_R_N_CT_grid,99,41.4780387878418,57.30399846413892,0.08827571501766229,25.876915219046776,9,9,0,10,10,
MLP,SOLO_R,N,CT,none,loeo,none,SOLO_R_N_CT_grid,99,273.5412853046249,682.3303351009896,-128.26561869539822,119.5560800341958,9,9,0,10,10,
DummyRegressor,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,52.37595621929823,90.29945464377205,-1.2639348497407172,30.679341457964526,36,9,27,10,10,
Lasso,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,37.722731545519856,44.1734548108626,0.45822819011982696,23.54870667833802,36,9,27,10,10,
ElasticNet,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,31.046308954968538,40.50616987342628,0.5444500226796679,20.560324786648714,36,9,27,10,10,
SVR,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,53.208002483101566,64.11504793639656,-0.1413362537826488,35.441013984078005,36,9,27,10,10,
RandomForest,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,51.21884365079366,63.98582642643383,-0.1367402479041,32.99750815500826,36,9,27,10,10,
XGBoost,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,47.4587905883789,59.74654485261384,0.008895928904098516,29.490822765224706,36,9,27,10,10,
MLP,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,283.9088049886122,704.2080390975418,-136.6878527384658,124.93123071921725,36,9,27,10,10,
DummyRegressor,SOLO_R,A,CT,none,loeo,feature_noise,SOLO_R_A_CT_random_feature_noise,99,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_R,A,CT,random,loeo,feature_noise,SOLO_R_A_CT_random_feature_noise,99,54.734475341598866,95.3843738289404,-1.526086023710827,31.859925791409953,36,9,27,10,10,
Lasso,SOLO_R,A,CT,random,loeo,feature_noise,SOLO_R_A_CT_random_feature_noise,99,37.722731545519856,44.1734548108626,0.45822819011982696,23.54870667833802,36,9,27,10,10,
ElasticNet,SOLO_R,A,CT,random,loeo,feature_noise,SOLO_R_A_CT_random_feature_noise,99,31.046308954968538,40.50616987342628,0.5444500226796679,20.560324786648714,36,9,27,10,10,
SVR,SOLO_R,A,CT,random,loeo,feature_noise,SOLO_R_A_CT_random_feature_noise,99,53.098022368076826,64.09256248178006,-0.14053584997067525,35.24704995571069,36,9,27,10,10,
RandomForest,SOLO_R,A,CT,random,loeo,feature_noise,SOLO_R_A_CT_random_feature_noise,99,53.335874009324,64.02140488925248,-0.13800473777410072,34.4943388184327,36,9,27,10,10,
XGBoost,SOLO_R,A,CT,random,loeo,feature_noise,SOLO_R_A_CT_random_feature_noise,99,39.12855987548828,54.519089978370005,0.17473986598802105,24.717257676648696,36,9,27,10,10,
MLP,SOLO_R,A,CT,none,loeo,feature_noise,SOLO_R_A_CT_random_feature_noise,99,283.9088049886122,704.2080390975418,-136.6878527384658,124.93123071921725,36,9,27,10,10,
DummyRegressor,SOLO_R,A,CT,none,loeo,feature_noise,SOLO_R_A_CT_grid_feature_noise,99,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_R,A,CT,grid,loeo,feature_noise,SOLO_R_A_CT_grid_feature_noise,99,54.734475341598866,95.3843738289404,-1.526086023710827,31.859925791409953,36,9,27,10,10,
Lasso,SOLO_R,A,CT,grid,loeo,feature_noise,SOLO_R_A_CT_grid_feature_noise,99,37.722731545519856,44.1734548108626,0.45822819011982696,23.54870667833802,36,9,27,10,10,
ElasticNet,SOLO_R,A,CT,grid,loeo,feature_noise,SOLO_R_A_CT_grid_feature_noise,99,31.046308954968538,40.50616987342628,0.5444500226796679,20.560324786648714,36,9,27,10,10,
SVR,SOLO_R,A,CT,grid,loeo,feature_noise,SOLO_R_A_CT_grid_feature_noise,99,53.098022368076826,64.09256248178006,-0.14053584997067525,35.24704995571069,36,9,27,10,10,
RandomForest,SOLO_R,A,CT,grid,loeo,feature_noise,SOLO_R_A_CT_grid_feature_noise,99,53.335874009324,64.02140488925248,-0.13800473777410072,34.4943388184327,36,9,27,10,10,
XGBoost,SOLO_R,A,CT,grid,loeo,feature_noise,SOLO_R_A_CT_grid_feature_noise,99,40.1217529296875,54.66125036266046,0.1704304670281317,24.345115752091793,36,9,27,10,10,
MLP,SOLO_R,A,CT,none,loeo,feature_noise,SOLO_R_A_CT_grid_feature_noise,99,283.9088049886122,704.2080390975418,-136.6878527384658,124.93123071921725,36,9,27,10,10,
DummyRegressor,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,99,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,99,62.23616444673572,120.51205310416967,-3.032316757794871,33.97205284765703,36,9,27,10,10,
Lasso,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,99,37.53363704250818,43.827759986488694,0.46667465955335996,23.573809379989225,36,9,27,10,10,
ElasticNet,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,99,30.17538373254596,39.109063902826456,0.5753330021863727,20.05715580163005,36,9,27,10,10,
SVR,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,99,53.249135794824745,64.17823732321988,-0.1435870788200908,35.51518392051026,36,9,27,10,10,
RandomForest,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,99,53.49806388888889,65.32378169850439,-0.18477616213329195,35.25670075998107,36,9,27,10,10,
XGBoost,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,99,53.84126586914063,64.0798718137046,-0.14008423036430484,35.89406672331709,36,9,27,10,10,
MLP,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,99,263.5987937082518,645.4563320590024,-114.67177535963982,116.03320992963222,36,9,27,10,10,
DummyRegressor,SOLO_R,A,CT,none,loeo,feature_scaling,SOLO_R_A_CT_random_feature_scaling,99,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_R,A,CT,random,loeo,feature_scaling,SOLO_R_A_CT_random_feature_scaling,99,62.23616444673572,120.51205310416967,-3.032316757794871,33.97205284765703,36,9,27,10,10,
Lasso,SOLO_R,A,CT,random,loeo,feature_scaling,SOLO_R_A_CT_random_feature_scaling,99,37.53363704250818,43.827759986488694,0.46667465955335996,23.573809379989225,36,9,27,10,10,
ElasticNet,SOLO_R,A,CT,random,loeo,feature_scaling,SOLO_R_A_CT_random_feature_scaling,99,31.2438657176644,37.19559634847327,0.615871330481369,20.52102960114038,36,9,27,10,10,
