model,data_branch,tuning_method,augmentation_strategy,branch_id,best_params,best_cv_score_mae,scoring,cv_strategy,notes
Lasso,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,A,none,grouped_scaling,A_CT_random_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,A,random,grouped_scaling,A_CT_random_grouped_scaling,"{""model__alpha"": 0.01}",35.417052560206514,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,A,random,grouped_scaling,A_CT_random_grouped_scaling,"{""model__alpha"": 0.01}",32.40494823134729,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,A,random,grouped_scaling,A_CT_random_grouped_scaling,"{""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}",24.453443817184098,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,A,random,grouped_scaling,A_CT_random_grouped_scaling,"{""model__gamma"": ""scale"", ""model__epsilon"": 1, ""model__C"": 10}",48.465052431981924,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,A,random,grouped_scaling,A_CT_random_grouped_scaling,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 3, ""model__max_depth"": null}",53.1588847055722,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,A,random,grouped_scaling,A_CT_random_grouped_scaling,"{""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}",37.73939208984375,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,A,none,grouped_scaling,A_CT_random_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,A,none,grouped_scaling,A_CT_grid_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,A,grid,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__alpha"": 0.01}",35.417052560206514,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,A,grid,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__alpha"": 0.01}",32.40494823134729,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,A,grid,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}",24.453443817184098,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,A,grid,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",48.44043952868439,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,A,grid,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 200}",52.784449485930736,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,A,grid,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}",38.69866828918457,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,A,none,grouped_scaling,A_CT_grid_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
